"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.323876586E2,6.501176493E1,2.550022604E1,1.677992263E1,1.478965893E0,8.268331445E1,1.460840415E1,2.034744795E1
1.333884916E2,6.501176760E1,2.550025294E1,1.682030138E1,1.503488500E0,8.158285638E1,1.460840425E1,1.963635430E1
1.343886480E2,6.501176779E1,2.550027821E1,1.649636380E1,1.488953666E0,8.247827477E1,1.457013509E1,1.890359682E1
1.353886435E2,6.501177107E1,2.550031210E1,1.628779454E1,1.454819205E0,8.345200059E1,1.457013492E1,1.989211882E1
1.363888181E2,6.501177667E1,2.550035013E1,1.630635016E1,1.479796323E0,8.126066398E1,1.439988201E1,1.922868486E1
1.373882113E2,6.501177836E1,2.550039267E1,1.654611217E1,1.619938260E0,8.180782539E1,1.438104319E1,1.881750859E1
1.383882072E2,6.501178283E1,2.550041445E1,1.662359105E1,1.387177045E0,8.391387452E1,1.438104327E1,1.873448916E1
1.393894616E2,6.501178847E1,2.550044871E1,1.658269615E1,1.530684596E0,8.041617065E1,1.416423965E1,1.835333508E1
1.403891206E2,6.501178881E1,2.550049101E1,1.665910696E1,1.631022199E0,8.481272045E1,1.404322403E1,1.741515291E1
1.413891163E2,6.501178954E1,2.550053123E1,1.651573514E1,1.566459685E0,8.344294752E1,1.400869748E1,1.730998510E1
1.423888414E2,6.501178918E1,2.550056892E1,1.655175562E1,1.606522919E0,8.154675922E1,1.400869748E1,1.738189843E1
1.433885499E2,6.501179107E1,2.550059934E1,1.630298849E1,1.534207144E0,8.163250725E1,1.401412476E1,1.856946244E1
1.443885453E2,6.501179201E1,2.550062712E1,1.621139904E1,1.563732570E0,7.886198931E1,1.375124981E1,1.725132649E1
1.453893673E2,6.501179209E1,2.550065670E1,1.630569517E1,1.464141697E0,8.350694068E1,1.348641797E1,1.695994428E1
