"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.538752267E1,-6.771075726E-3,-3.613074951E-1,4.905341477E0
2.539756167E1,2.261516634E-2,-4.763762406E-1,4.351399655E0
2.540759967E1,-1.666946896E-1,-5.019136626E-1,3.847594199E0
2.541763767E1,-4.233426525E-1,-3.904340842E-1,3.242514968E0
2.542767667E1,-6.284363727E-1,-3.816144365E-1,2.728951094E0
2.543771467E1,-7.817089981E-1,-3.225252526E-1,2.387290682E0
2.544775267E1,-7.825619607E-1,-4.157509200E-1,2.031789910E0
2.545779167E1,-8.015083281E-1,-5.555686636E-1,1.735303332E0
2.546782967E1,-8.072231043E-1,-7.522584732E-1,1.469305306E0
2.547786867E1,-7.140225799E-1,-9.230568118E-1,1.190508310E0
2.548790667E1,-5.573446823E-1,-1.066051786E0,8.900970805E-1
2.549794467E1,-4.726350459E-1,-1.204530225E0,5.771932751E-1
2.550798367E1,-4.379928513E-1,-1.319354630E0,2.710821801E-1
2.551802167E1,-4.590624524E-1,-1.362934075E0,-1.612504202E-1
2.552805967E1,-4.409388247E-1,-1.343157329E0,-5.994097710E-1
2.553809867E1,-3.788218794E-1,-1.288613479E0,-1.128084605E0
2.554813667E1,-3.418631642E-1,-1.147146235E0,-1.730072413E0
2.555817467E1,-3.046959591E-1,-9.443187498E-1,-2.291867046E0
2.556821367E1,-2.391259954E-1,-7.342429094E-1,-2.814060826E0
2.557825167E1,-1.676061974E-1,-4.904077309E-1,-3.267881359E0
2.558828967E1,5.017760703E-3,-3.687686884E-1,-3.707644601E0
2.559832867E1,1.235483229E-1,-1.575954719E-1,-4.080644335E0
2.560836667E1,5.875538103E-2,-4.519663811E-2,-4.236980170E0
2.561840467E1,4.546342189E-2,3.926785380E-2,-4.483820964E0
2.562844367E1,2.359743005E-2,9.646473259E-2,-4.670471689E0
2.563848167E1,-1.950649186E-2,1.384826781E-1,-4.791535365E0
2.564851967E1,-7.990833233E-2,1.382726169E-1,-4.773905425E0
2.565855867E1,-1.763351037E-1,1.070354752E-1,-4.632875846E0
2.566859667E1,-1.777503309E-1,6.305827394E-2,-4.402321302E0
2.567863567E1,-1.855504617E-1,8.504497424E-2,-4.155114473E0
2.568867367E1,-2.629402064E-1,1.842081968E-1,-3.869861566E0
2.569871167E1,-3.729364741E-1,3.296215796E-1,-3.488852901E0
2.570875067E1,-4.600351367E-1,4.740011747E-1,-3.103081679E0
2.571878867E1,-5.661612237E-1,5.334017229E-1,-2.600253877E0
2.572882667E1,-5.383666668E-1,5.719103158E-1,-2.097971621E0
2.573886567E1,-3.393739314E-1,6.004748413E-1,-1.692954288E0
2.574890367E1,-1.924142707E-1,7.272933474E-1,-1.263051791E0
2.575894167E1,-1.369419368E-1,9.578695258E-1,-9.186654067E-1
2.576898067E1,-1.548582441E-1,1.169425881E0,-6.366173583E-1
2.577901867E1,-1.800434079E-1,1.259444789E0,-3.443244034E-1
2.578905667E1,-3.449081017E-1,1.230944437E0,2.703694046E-2
2.579909567E1,-4.606474132E-1,1.250924227E0,3.829692364E-1
2.580913367E1,-5.396988818E-1,1.278885758E0,8.437842089E-1
2.581917167E1,-6.175084383E-1,1.219578035E0,1.581223937E0
2.582921067E1,-5.535587198E-1,1.020000870E0,2.388211618E0
2.583924867E1,-3.677467413E-1,8.068815538E-1,3.090586179E0
2.584928667E1,-7.824860930E-2,5.631939445E-1,3.506058918E0
2.585932567E1,-1.983227542E-2,4.547250243E-1,3.699931539E0
2.586936367E1,-1.337073484E-1,4.920733834E-1,3.690202941E0
2.587940167E1,-2.967973940E-1,6.263218734E-1,3.447784397E0
2.588944067E1,-5.829547559E-1,8.612522540E-1,3.624726990E0
2.589947867E1,-6.859913204E-1,1.023770497E0,3.978749000E0
2.590951667E1,-5.904208829E-1,9.804657984E-1,4.358787028E0
2.591955567E1,-4.907177795E-1,7.262225761E-1,4.791149449E0
2.592959367E1,-2.007800831E-1,3.550346021E-1,5.287037775E0
2.593963267E1,1.387144471E-1,-1.652622680E-1,5.584580360E0
2.594967067E1,4.883316039E-1,-7.184142043E-1,5.657489292E0
2.595970867E1,7.990838532E-1,-1.239460030E0,5.275776622E0
2.596974767E1,8.865763257E-1,-1.537865371E0,4.649219398E0
2.597978567E1,8.862914202E-1,-1.633700944E0,3.819881905E0
2.598982367E1,6.309117184E-1,-1.500114870E0,2.980932174E0
2.599986267E1,3.930966139E-1,-1.266010482E0,2.180900341E0
2.600990067E1,4.167312423E-1,-1.142350861E0,1.413547427E0
2.601993867E1,3.494322386E-1,-1.074906663E0,9.396171498E-1
2.602997767E1,3.463848160E-1,-9.075941424E-1,5.489775360E-1
2.604001567E1,3.781383399E-1,-8.436055034E-1,2.977864140E-1
2.605005367E1,4.615798980E-1,-8.554527663E-1,5.664022386E-2
2.606009267E1,4.944865659E-1,-9.019453666E-1,-1.654902363E-1
2.607013067E1,5.052247581E-1,-9.132755895E-1,-4.936722314E-1
2.608016867E1,5.189187545E-1,-9.662236621E-1,-9.125117970E-1
2.609020767E1,3.360556365E-1,-9.077561103E-1,-1.280734355E0
2.610024567E1,2.179469783E-1,-8.548850747E-1,-1.718318340E0
2.611028367E1,1.011753226E-1,-7.975206732E-1,-2.132286590E0
2.612032267E1,-9.358011838E-4,-7.562230316E-1,-2.514554161E0
2.613036067E1,-4.840701532E-2,-7.343128567E-1,-2.911733885E0
2.614039967E1,-9.610624345E-2,-7.004504614E-1,-3.240059722E0
2.615043767E1,-2.784680495E-2,-7.207709976E-1,-3.517790186E0
2.616047567E1,-4.132183447E-2,-3.615818026E-1,-3.702540566E0
2.617051467E1,-1.236504755E-2,-2.612841471E-1,-3.885454921E0
2.618055267E1,8.234835715E-2,-1.284016398E-1,-4.049302089E0
2.619059067E1,5.465278267E-2,1.615743560E-1,-4.137626621E0
2.620062967E1,1.255181402E-1,3.522316662E-1,-4.131716840E0
2.621066767E1,2.092710442E-1,4.929199141E-1,-4.105392090E0
2.622070567E1,2.840371981E-1,6.197942611E-1,-4.083793645E0
2.623074467E1,3.662984591E-1,7.297176030E-1,-4.059626518E0
2.624078267E1,2.573169026E-1,8.303139782E-1,-3.778118168E0
2.625082067E1,1.427064874E-1,8.957327000E-1,-3.550770237E0
2.626085967E1,2.115420845E-1,9.749301662E-1,-3.314781291E0
2.627089767E1,1.716024587E-1,9.771776167E-1,-2.885589815E0
2.628093567E1,2.316348716E-1,9.433346634E-1,-2.400910601E0
2.629097467E1,2.884250766E-1,9.667883570E-1,-1.904258044E0
2.630101267E1,2.981769715E-1,1.030239125E0,-1.371884846E0
2.631105067E1,3.351173045E-1,1.105818700E0,-1.024850258E0
2.632108967E1,3.663718051E-1,1.118594062E0,-7.354317945E-1
